Country,ReporterISO3,x_lon,y_lat,name_match
"Egypt, Arab Rep.",EGY,29.369537116289596,26.895485,True
Kenya,KEN,37.512972045317696,0.31240676893094815,True
Morocco,MAR,-9.983264573567473,28.490393073026723,True
Algeria,DZA,0.5262737270331161,27.916216233831705,True
Russian Federation,RUS,88.59732850428603,59.40587000000008,True
Russian Federation,RUS,88.59732850428603,59.40587000000008,True
Russian Federation,RUS,88.59732850428603,59.40587000000008,True
Russian Federation,RUS,88.59732850428603,59.40587000000008,True
Russian Federation,RUS,88.59732850428603,59.40587000000008,True
Russian Federation,RUS,88.59732850428603,59.40587000000008,True
Russian Federation,RUS,88.59732850428603,59.40587000000008,True
Uganda,UGA,32.54650624332488,1.3803727233898533,True
Greece,GRC,21.806331544482997,39.08045726170843,True
Greece,GRC,21.806331544482997,39.08045726170843,True
Russian Federation,RUS,88.59732850428603,59.40587000000008,True
Russian Federation,RUS,88.59732850428603,59.40587000000008,True
Russian Federation,RUS,88.59732850428603,59.40587000000008,True
Greece,GRC,21.806331544482997,39.08045726170843,True
Italy,ITA,12.631183369107305,42.55821655941108,True
Uganda,UGA,32.54650624332488,1.3803727233898533,True
Italy,ITA,12.631183369107305,42.55821655941108,True
Russian Federation,RUS,88.59732850428603,59.40587000000008,True
Italy,ITA,12.631183369107305,42.55821655941108,True
Greece,GRC,21.806331544482997,39.08045726170843,True
Germany,DEU,10.432351054415541,51.43122793233069,True
Italy,ITA,12.631183369107305,42.55821655941108,True
Germany,DEU,10.432351054415541,51.43122793233069,True
Italy,ITA,12.631183369107305,42.55821655941108,True
Greece,GRC,21.806331544482997,39.08045726170843,True
Italy,ITA,12.631183369107305,42.55821655941108,True
Uganda,UGA,32.54650624332488,1.3803727233898533,True
Italy,ITA,12.631183369107305,42.55821655941108,True
Lebanon,LBN,35.79466178592026,33.865181281055996,True
Greece,GRC,21.806331544482997,39.08045726170843,True
Italy,ITA,12.631183369107305,42.55821655941108,True
Germany,DEU,10.432351054415541,51.43122793233069,True
Germany,DEU,10.432351054415541,51.43122793233069,True
Germany,DEU,10.432351054415541,51.43122793233069,True
Russian Federation,RUS,88.59732850428603,59.40587000000008,True
Italy,ITA,12.631183369107305,42.55821655941108,True
Italy,ITA,12.631183369107305,42.55821655941108,True
Italy,ITA,12.631183369107305,42.55821655941108,True
Germany,DEU,10.432351054415541,51.43122793233069,True
Russian Federation,RUS,88.59732850428603,59.40587000000008,True
Italy,ITA,12.631183369107305,42.55821655941108,True
Italy,ITA,12.631183369107305,42.55821655941108,True
Greece,GRC,21.806331544482997,39.08045726170843,True
Germany,DEU,10.432351054415541,51.43122793233069,True
Greece,GRC,21.806331544482997,39.08045726170843,True
Turkey,TUR,35.45493090001703,38.63352071792403,True
Russian Federation,RUS,88.59732850428603,59.40587000000008,True
Lebanon,LBN,35.79466178592026,33.865181281055996,True
Germany,DEU,10.432351054415541,51.43122793233069,True
Italy,ITA,12.631183369107305,42.55821655941108,True
Germany,DEU,10.432351054415541,51.43122793233069,True
Greece,GRC,21.806331544482997,39.08045726170843,True
Italy,ITA,12.631183369107305,42.55821655941108,True
Germany,DEU,10.432351054415541,51.43122793233069,True
Lebanon,LBN,35.79466178592026,33.865181281055996,True
Greece,GRC,21.806331544482997,39.08045726170843,True
United Arab Emirates,ARE,54.987923662782734,24.28183858896037,True
Russian Federation,RUS,88.59732850428603,59.40587000000008,True
Lebanon,LBN,35.79466178592026,33.865181281055996,True
Italy,ITA,12.631183369107305,42.55821655941108,True
Germany,DEU,10.432351054415541,51.43122793233069,True
Lebanon,LBN,35.79466178592026,33.865181281055996,True
Germany,DEU,10.432351054415541,51.43122793233069,True
Greece,GRC,21.806331544482997,39.08045726170843,True
Germany,DEU,10.432351054415541,51.43122793233069,True
Greece,GRC,21.806331544482997,39.08045726170843,True
Italy,ITA,12.631183369107305,42.55821655941108,True
Spain,ESP,-3.5199679433204363,39.917912604322396,True
United Arab Emirates,ARE,54.987923662782734,24.28183858896037,True
Germany,DEU,10.432351054415541,51.43122793233069,True
Germany,DEU,10.432351054415541,51.43122793233069,True
United Arab Emirates,ARE,54.987923662782734,24.28183858896037,True
Italy,ITA,12.631183369107305,42.55821655941108,True
Greece,GRC,21.806331544482997,39.08045726170843,True
Lebanon,LBN,35.79466178592026,33.865181281055996,True
United Arab Emirates,ARE,54.987923662782734,24.28183858896037,True
Russian Federation,RUS,88.59732850428603,59.40587000000008,True
Germany,DEU,10.432351054415541,51.43122793233069,True
Greece,GRC,21.806331544482997,39.08045726170843,True
Germany,DEU,10.432351054415541,51.43122793233069,True
Italy,ITA,12.631183369107305,42.55821655941108,True
Germany,DEU,10.432351054415541,51.43122793233069,True
United Arab Emirates,ARE,54.987923662782734,24.28183858896037,True
Lebanon,LBN,35.79466178592026,33.865181281055996,True
Lebanon,LBN,35.79466178592026,33.865181281055996,True
Germany,DEU,10.432351054415541,51.43122793233069,True
Greece,GRC,21.806331544482997,39.08045726170843,True
Saudi Arabia,SAU,44.55272448770118,24.26549591724806,True
Greece,GRC,21.806331544482997,39.08045726170843,True
Russian Federation,RUS,88.59732850428603,59.40587000000008,True
Spain,ESP,-3.5199679433204363,39.917912604322396,True
Germany,DEU,10.432351054415541,51.43122793233069,True
Germany,DEU,10.432351054415541,51.43122793233069,True
Germany,DEU,10.432351054415541,51.43122793233069,True
Lebanon,LBN,35.79466178592026,33.865181281055996,True
Greece,GRC,21.806331544482997,39.08045726170843,True
Lebanon,LBN,35.79466178592026,33.865181281055996,True
