ReporterISO3,PartnerISO3,Year,Value chains,Temperature,value_usd,quantity_mt
ESP,MAR,2024,Potatoes,Dehydrated,283632,80.739
CIV,MAR,2014,Potatoes,Fresh,36139,80.731
HRV,MAR,2005,Potatoes,Fresh,31987,80.715
BIH,MAR,2008,Potatoes,Fresh,47449,80.671
ITA,MAR,2014,Potatoes,Dehydrated,194211,80.64
PSE,EGY,2018,Potatoes,Frozen,78810,80.638671
NLD,EGY,2019,Seed Potatoes,Seed,60295,80.244
MRT,DZA,2024,Potatoes,Dehydrated,15726,80.227
BGR,EGY,2020,Potatoes,Dehydrated,118892,80.145
TUN,DZA,2016,Potatoes,Fresh,34690,80
GBR,MAR,2018,Potatoes,Dehydrated,298548,80
KWT,EGY,2016,Potatoes,Dehydrated,223197,99.901
UGA,KEN,2022,Potatoes,Dehydrated,484144,90.91176
FIN,EGY,2007,Potatoes,Dehydrated,252283,79.363
HUN,EGY,2016,Potatoes,Dehydrated,215282,79.279
RUS,MAR,2021,Potatoes,Fresh,43283,79.178
ARG,EGY,2012,Potatoes,Dehydrated,140688,79.11
CAN,MAR,2005,Potatoes,Dehydrated,291726,79.049
