ReporterISO3,PartnerISO3,Year,Value chains,Temperature,value_usd,quantity_mt
AUT,MAR,2004,Potatoes,Fresh,89153,137.4
UKR,EGY,2016,Potatoes,Fresh,69067,136.396
MAR,EGY,2022,Potatoes,Dehydrated,920559,142.33292
HRV,MAR,2004,Potatoes,Fresh,65119,135.99
UGA,KEN,2014,Potatoes,Frozen,49375,135.75
ARM,EGY,2023,Potatoes,Fresh,50434,135.66
FIN,EGY,2022,Potatoes,Fresh,174469,135.547
OMN,EGY,2004,Potatoes,Frozen,1875025,190.809
BEL,EGY,2006,Potatoes,Dehydrated,295487,135.179
PRT,EGY,2017,Potatoes,Fresh,58324,135
NLD,MAR,2023,Seed Potatoes,Seed,90210,135
TUN,DZA,2019,Potatoes,Dehydrated,328482,134.757
AUS,EGY,2012,Potatoes,Dehydrated,296279,134.399
PSE,EGY,2009,Potatoes,Dehydrated,528737,142.787252
CZE,MAR,2020,Potatoes,Fresh,57339,133.904
ESP,EGY,2009,Potatoes,Fresh,50421,133.755
SAU,EGY,2018,Potatoes,Dehydrated,251992,182.206428
ESP,EGY,2019,Potatoes,Dehydrated,255640,133.33978
FRA,MAR,2018,Potatoes,Dehydrated,519650,133.064036
BGR,EGY,2007,Potatoes,Frozen,42237,153
AUS,EGY,2016,Potatoes,Dehydrated,328625,132.947
SEN,EGY,2009,Potatoes,Frozen,103211,132.875
BLR,MAR,2015,Potatoes,Fresh,82700,132.83
CZE,MAR,2014,Potatoes,Fresh,67727,132.677
URY,EGY,2013,Potatoes,Dehydrated,319096,152.484
CAN,EGY,2011,Potatoes,Dehydrated,436481,132.128
NLD,EGY,2010,Potatoes,Dehydrated,414966,131.871
GBR,EGY,2020,Potatoes,Dehydrated,503269,146.574
SVN,MAR,2016,Potatoes,Fresh,40773,131.23
ARE,EGY,2023,Potatoes,Dehydrated,274532,161.9057
LKA,EGY,2019,Potatoes,Frozen,146519,130.5
LKA,EGY,2020,Potatoes,Frozen,142821,130.5
LVA,EGY,2016,Potatoes,Dehydrated,162837,130.18
SVK,EGY,2023,Potatoes,Dehydrated,376905,131.548
ARE,EGY,2012,Potatoes,Dehydrated,161949,152.897
UKR,EGY,2015,Potatoes,Dehydrated,225673,129.333
MAR,EGY,2021,Potatoes,Dehydrated,848860,163.636
ROM,EGY,2023,Potatoes,Frozen,155684,129.16
PRT,EGY,2023,Potatoes,Fresh,65577,129
HUN,EGY,2019,Potatoes,Fresh,75424,128.75
TGO,MAR,2017,Potatoes,Fresh,27772,128.5
FIN,MAR,2008,Potatoes,Fresh,120336,128.259
BEL,EGY,2024,Potatoes,Dehydrated,566473,150.49572
SAU,EGY,2007,Potatoes,Dehydrated,358627,135
ITA,MAR,2002,Potatoes,Dehydrated,157944,127.88
POL,MAR,2013,Potatoes,Frozen,106204,127.381
LVA,EGY,2015,Potatoes,Dehydrated,192519,127.153
AUS,EGY,2020,Potatoes,Dehydrated,406971,127.016
IND,EGY,2019,Potatoes,Dehydrated,149465,126.95
CZE,MAR,2012,Potatoes,Fresh,72869,126.685
OMN,EGY,2002,Potatoes,Frozen,89992,126.5
SYR,EGY,2007,Potatoes,Dehydrated,212832,199.823
DNK,EGY,2010,Potatoes,Fresh,41864,126.25
JOR,EGY,2002,Potatoes,Dehydrated,94398,125.65
GBR,EGY,2018,Potatoes,Dehydrated,365024,135.37
UKR,EGY,2009,Potatoes,Dehydrated,284560,125.391
HUN,EGY,2019,Potatoes,Dehydrated,379717,125.355
URY,EGY,2008,Potatoes,Dehydrated,223534,125.28
MYS,EGY,2009,Seed Potatoes,Seed,50413,125
CYP,EGY,2007,Potatoes,Frozen,116384,125
AUS,EGY,2009,Potatoes,Dehydrated,225886,124.938
SYR,EGY,2008,Potatoes,Dehydrated,437929,163.06
BEL,EGY,2017,Potatoes,Dehydrated,396229,124.73122
BEL,EGY,2019,Potatoes,Dehydrated,300271,124.41
ESP,EGY,2010,Potatoes,Fresh,41663,123.85
EST,EGY,2023,Potatoes,Fresh,98610,123.491521
LBY,EGY,2017,Potatoes,Frozen,122005,150.714
GBR,MAR,2015,Potatoes,Dehydrated,515403,122.774
ARE,MAR,2015,Potatoes,Fresh,90950,122.679
DZA,EGY,2013,Potatoes,Dehydrated,643876,162.348
LBY,EGY,2010,Potatoes,Frozen,115508,121.913
JPN,EGY,2005,Potatoes,Dehydrated,431412,120.987
KWT,EGY,2006,Potatoes,Dehydrated,45096,121.992
BGR,EGY,2003,Potatoes,Fresh,15818,120.69
FIN,MAR,2015,Potatoes,Fresh,88524,120.33
DZA,EGY,2015,Potatoes,Frozen,110404,120
PRT,MAR,2014,Potatoes,Fresh,46336,120
MYS,EGY,2008,Potatoes,Frozen,105940,120
KEN,EGY,2020,Potatoes,Frozen,135130,119.922
TUR,EGY,2013,Potatoes,Dehydrated,325198,144.578
ITA,MAR,2016,Potatoes,Dehydrated,235752,119.52
NER,DZA,2022,Potatoes,Fresh,17174,119.4
QAT,EGY,2005,Potatoes,Fresh,38296,119.159
SDN,EGY,2008,Potatoes,Fresh,67350,119
GBR,EGY,2019,Potatoes,Dehydrated,328495,128.225
NLD,EGY,2002,Potatoes,Dehydrated,237026,118.928
BGR,EGY,2021,Potatoes,Dehydrated,184382,118.8
ZAF,EGY,2007,Potatoes,Dehydrated,212317,118.237
JOR,EGY,2012,Potatoes,Dehydrated,117114,117.798
SLV,EGY,2024,Potatoes,Fresh,48151,117.62
BGR,EGY,2023,Potatoes,Dehydrated,169451,117.465925
AUT,EGY,2006,Potatoes,Dehydrated,243345,117.4
BEN,MAR,2018,Potatoes,Frozen,45902,117.2
AUS,EGY,2008,Potatoes,Dehydrated,247099,117.048
FIN,EGY,2021,Potatoes,Fresh,170671,116.996
IND,EGY,2021,Potatoes,Dehydrated,247723,116.771
SVK,EGY,2024,Potatoes,Dehydrated,386913,116.742
MEX,EGY,2018,Potatoes,Dehydrated,455043,116.520354
NLD,EGY,2011,Potatoes,Dehydrated,445028,116.351
SYC,EGY,2019,Potatoes,Fresh,81314,116.25138
SLV,EGY,2021,Potatoes,Fresh,36410,116
SEN,EGY,2022,Potatoes,Fresh,24320,116
ROM,EGY,2004,Potatoes,Dehydrated,128727,115.9951
SLV,EGY,2023,Potatoes,Fresh,44417,115.95
FRA,MAR,2002,Potatoes,Dehydrated,552044,116.6
EST,EGY,2010,Potatoes,Fresh,131349,115.546
CAN,EGY,2015,Potatoes,Dehydrated,495691,115.512
CZE,EGY,2006,Potatoes,Dehydrated,392427,115.411
NER,DZA,2022,Seed Potatoes,Seed,24982,115.3
SVK,EGY,2022,Potatoes,Fresh,40447,115.219
CZE,MAR,2002,Potatoes,Fresh,58009,114.956
CPV,EGY,2024,Potatoes,Fresh,64512,114.215
GBR,EGY,2016,Potatoes,Dehydrated,257018,114.105
PSE,EGY,2017,Potatoes,Frozen,105660,113.990176
ARE,EGY,2022,Potatoes,Dehydrated,206460,113.90975
NLD,MAR,2010,Seed Potatoes,Seed,50379,112.15
OMN,EGY,2009,Seed Potatoes,Seed,39251,112
AUS,EGY,2021,Potatoes,Dehydrated,402587,111.86392
GHA,EGY,2018,Potatoes,Fresh,27745,111.8
SYC,EGY,2021,Potatoes,Fresh,76685,111.5852
ITA,EGY,2018,Potatoes,Dehydrated,171705,111.394
HUN,MAR,2003,Potatoes,Fresh,32000,111.1
QAT,DZA,2016,Seed Potatoes,Seed,28485,110.832
LVA,EGY,2014,Potatoes,Dehydrated,197974,110.609
FIN,EGY,2023,Potatoes,Fresh,146549,110.551
CAN,EGY,2018,Potatoes,Dehydrated,445866,110.549
CAN,MAR,2003,Potatoes,Dehydrated,346033,110.368
ITA,EGY,2010,Potatoes,Dehydrated,232636,110.325
CZE,EGY,2005,Potatoes,Dehydrated,225862,110.319
MEX,EGY,2014,Potatoes,Dehydrated,383160,110.097
BHR,EGY,2008,Potatoes,Fresh,42731,110
DNK,MAR,2022,Seed Potatoes,Seed,66982,110
TUN,EGY,2002,Potatoes,Fresh,8079,110
AUT,MAR,2013,Potatoes,Fresh,70326,109.576
TUN,DZA,2004,Potatoes,Fresh,7069,109
TUN,EGY,2020,Potatoes,Dehydrated,612174,110.051
LKA,EGY,2022,Potatoes,Frozen,135684,108.75
HUN,EGY,2021,Potatoes,Dehydrated,395310,108.613254
SLV,EGY,2020,Potatoes,Fresh,34189,108.4788
FIN,MAR,2017,Potatoes,Fresh,84734,108.06
BGR,EGY,2020,Potatoes,Fresh,49227,108
PRT,EGY,2018,Potatoes,Fresh,46535,108
GBR,EGY,2017,Potatoes,Dehydrated,347905,110.847
PAK,EGY,2008,Potatoes,Frozen,98038,107.813
TUN,EGY,2019,Potatoes,Dehydrated,504623,107.489
AUS,EGY,2023,Potatoes,Frozen,175440,107.12
QAT,MAR,2019,Seed Potatoes,Seed,65839,106.92
ARE,DZA,2018,Potatoes,Fresh,45355,106.8948
SVK,EGY,2022,Potatoes,Dehydrated,263293,106.818624
ROM,EGY,2014,Potatoes,Dehydrated,182632,106.48
ESP,EGY,2021,Potatoes,Dehydrated,227217,106.405
SGP,EGY,2019,Potatoes,Dehydrated,48471,106.344146
URY,EGY,2005,Potatoes,Dehydrated,136516,106.28
CHE,EGY,2007,Potatoes,Fresh,81225,106.25
SAU,MAR,2017,Potatoes,Fresh,70820,106.201
AUT,MAR,2003,Potatoes,Fresh,58681,106
NGA,EGY,2019,Potatoes,Frozen,85675,107.808
DOM,EGY,2023,Potatoes,Frozen,133914,105.8
FRA,DZA,2005,Potatoes,Fresh,49771,105.7
DEU,MAR,2020,Potatoes,Fresh,74530,105.614
SVK,EGY,2014,Potatoes,Dehydrated,314763,105.533
ITA,EGY,2009,Potatoes,Dehydrated,240574,112.829
EST,MAR,2020,Potatoes,Fresh,54509,104.55766
QAT,DZA,2019,Potatoes,Frozen,39077,104.275
TUR,EGY,2011,Potatoes,Dehydrated,97298,104.08
SYC,EGY,2018,Potatoes,Fresh,66821,103.89753
ROM,EGY,2007,Potatoes,Dehydrated,146322,120.82
POL,MAR,2007,Potatoes,Frozen,74757,103.582
ESP,EGY,2003,Potatoes,Dehydrated,75127,118.1
SEN,MAR,2024,Seed Potatoes,Seed,36477,103
CZE,MAR,2015,Potatoes,Fresh,48864,102.672
SVK,MAR,2019,Potatoes,Fresh,64891,102.405
EST,EGY,2022,Potatoes,Fresh,78514,102.3164
MAR,EGY,2020,Potatoes,Dehydrated,633175,123.83591
MLT,EGY,2022,Potatoes,Fresh,46704,102
EST,EGY,2018,Potatoes,Fresh,61484,101.9228
UGA,KEN,2013,Potatoes,Frozen,9739,102.27
QAT,EGY,2008,Potatoes,Dehydrated,170475,170.917
CAN,MAR,2002,Potatoes,Dehydrated,378972,101.619
CAN,EGY,2016,Potatoes,Dehydrated,383320,101.591
ROM,EGY,2005,Potatoes,Dehydrated,112644,101.509
GBR,MAR,2014,Potatoes,Dehydrated,428161,101.28
RUS,MAR,2018,Potatoes,Fresh,61781,101.2446
HUN,EGY,2002,Potatoes,Dehydrated,113000,101.2
NER,MAR,2023,Potatoes,Fresh,12691,100.8
FRA,DZA,2021,Potatoes,Fresh,32780,100.15
OAS,EGY,2014,Potatoes,Frozen,128269,100
GRC,EGY,2020,Potatoes,Frozen,41967,100.24
BEL,EGY,2012,Seed Potatoes,Seed,74453,100
TZA,KEN,2023,Seed Potatoes,Seed,8618,100
TZA,KEN,2011,Seed Potatoes,Seed,16866,100
HKG,EGY,2023,Potatoes,Fresh,77652,100
MLI,EGY,2023,Potatoes,Dehydrated,32982,100
MRT,DZA,2020,Potatoes,Fresh,27775,100
CYP,EGY,2023,Potatoes,Fresh,40564,100
MYS,EGY,2009,Potatoes,Fresh,41311,100
GRC,DZA,2016,Potatoes,Fresh,45175,100
